Symbol,1st_Expiry_Date,1st_Close,1st_OI,1st_OI_Chg,2nd_Expiry_Date,2nd_Close,2nd_OI,2nd_OI_Chg,3rd_Expiry_Date,3rd_Close,3rd_OI,3rd_OI_Chg,Total_Futures_OI,Total_Futures_OI_Chg,Combine_CE_OI,Combine_CE_OI_Chg,Combine_PE_OI,Combine_PE_OI_Chg,PCR_OI
SIEMENS,2026-04-28,0,691950,-484575,2026-05-26,0,2701300,532000,2026-06-30,0,25725,3325,3418975,50750,1762950,-28525,1362550,-11900,0.77
SOLARINDS,2026-04-28,0,202850,-93800,2026-05-26,0,577750,113100,2026-06-30,0,49700,3300,830300,22600,350900,-80000,274200,-18200,0.78
SONACOMS,2026-04-28,0,2642325,-5425525,2026-05-26,0,12654250,6417775,2026-06-30,0,100450,7350,15397025,999600,4307100,199675,3248700,12250,0.75
SRF,2026-04-28,0,721800,-1107800,2026-05-26,0,2948400,966600,2026-06-30,0,37400,9600,3707600,-131600,1929400,-151000,1160200,-93600,0.6
SUNPHARMA,2026-04-28,0,2771650,-3070900,2026-05-26,0,20024900,8809150,2026-06-30,0,3401300,576800,26197850,6315050,11138050,1896650,8366050,1632050,0.75
SUPREMEIND,2026-04-28,0,394450,-653275,2026-05-26,0,1861825,578375,2026-06-30,0,12075,3150,2268350,-71750,1239525,252875,598150,174475,0.48
SUZLON,2026-04-28,0,54086825,-62534225,2026-05-26,0,247275975,29186850,2026-06-30,0,22715925,685900,324078725,-32661475,176592175,-31244550,183974625,15802775,1.04
SWIGGY,2026-04-28,0,5031000,-7831200,2026-05-26,0,35809800,4721600,2026-06-30,0,496600,6500,41337400,-3103100,8988200,-570700,5835700,-252200,0.65
TATACONSUM,2026-04-28,0,5358650,-1629650,2026-05-26,0,5636950,1659900,2026-06-30,0,393800,116600,11389400,146850,3110800,-74250,3355000,-101750,1.08
TATAELXSI,2026-04-28,0,253000,-363800,2026-05-26,0,2159500,250600,2026-06-30,0,140500,19100,2553000,-94100,2405900,-412100,911200,-73700,0.38
TATAPOWER,2026-04-28,0,14298450,-9990500,2026-05-26,0,46806000,12826700,2026-06-30,0,841000,82650,61945450,2918850,32398800,-1921250,29617700,2202550,0.91
TATASTEEL,2026-04-28,0,42944000,-37290000,2026-05-26,0,145260500,46651000,2026-06-30,0,9108000,588500,197312500,9949500,111633500,-7205000,100760000,4719000,0.9
TCS,2026-04-28,0,5538050,-7239050,2026-05-26,0,32536875,9158275,2026-06-30,0,1886850,310800,39961775,2230025,18844525,-1836625,11816700,157675,0.63
TECHM,2026-04-28,0,2579400,-4064400,2026-05-26,0,17172000,4166400,2026-06-30,0,303600,1800,20055000,103800,11634000,-2866200,6468600,142800,0.56
TIINDIA,2026-04-28,0,249600,-511800,2026-05-26,0,2320600,582800,2026-06-30,0,14400,1400,2584600,72400,998200,-69000,639800,-49400,0.64
TITAN,2026-04-28,0,1308650,-2301950,2026-05-26,0,7238000,2437400,2026-06-30,0,755475,24850,9302125,160300,3510325,-304500,2597175,-76300,0.74
TMPV,2026-04-28,0,5809600,-12852000,2026-05-26,0,54888000,10864800,2026-06-30,0,2379200,348800,63076800,-1638400,36259200,-1102400,26451200,-333600,0.73
TORNTPHARM,2026-04-28,0,241000,-747500,2026-05-26,0,2642500,622750,2026-06-30,0,5250,500,2888750,-124250,569750,-45000,463500,19500,0.81
TRENT,2026-04-28,0,1502100,-766500,2026-05-26,0,6802700,941700,2026-06-30,0,211900,17800,8516700,193000,6500700,155100,3328100,-203600,0.51
TVSMOTOR,2026-04-28,0,1246700,-2350425,2026-05-26,0,7327950,2489550,2026-06-30,0,364175,20650,8938825,159775,2194850,-231175,1294825,-74900,0.59
ULTRACEMCO,2026-04-28,0,528550,-308150,2026-05-26,0,2354500,551450,2026-06-30,0,421350,16250,3304400,259550,1710250,649550,919300,309500,0.54
UNIONBANK,2026-04-28,0,17496450,-18704475,2026-05-26,0,121983975,25018950,2026-06-30,0,2593050,415950,142073475,6730425,61551750,-4964850,34767225,-1464675,0.56
UNITDSPR,2026-04-28,0,1188400,-2540000,2026-05-26,0,9471600,2441200,2026-06-30,0,561200,113600,11221200,14800,4934000,128000,4081200,156800,0.83
UNOMINDA,2026-04-28,0,470250,-913550,2026-05-26,0,4006750,988900,2026-06-30,0,18150,4400,4495150,79750,1657150,-127600,798600,-1650,0.48
UPL,2026-04-28,0,9474160,-7319710,2026-05-26,0,21952355,6791260,2026-06-30,0,158535,50135,31585050,-478315,7983660,-521675,6604270,-359075,0.83
VBL,2026-04-28,0,6490125,-15916500,2026-05-26,0,46291500,14805000,2026-06-30,0,861750,105750,53643375,-1005750,19447875,-2918250,15040125,1940625,0.77
VEDL,2026-04-28,0,19508600,-5132450,2026-05-26,0,17305200,1360450,2026-06-30,0,497950,-33350,37311750,-3805350,48133250,-9534650,31547950,-3160200,0.66
VMM,2026-04-28,0,7139200,-8060700,2026-05-26,0,23580700,9792150,2026-06-30,0,135800,38800,30855700,1770250,8982200,708100,4301950,431650,0.48
VOLTAS,2026-04-28,0,1612125,-1606500,2026-05-26,0,9093750,2199750,2026-06-30,0,124875,3375,10830750,596625,4462125,42375,3687375,-73500,0.83
WAAREEENER,2026-04-28,0,1397725,-988925,2026-05-26,0,3959375,939225,2026-06-30,0,68775,3500,5425875,-46200,2498650,-445375,1508500,-289275,0.6
WIPRO,2026-04-28,0,44211000,-49848000,2026-05-26,0,262656000,61620000,2026-06-30,0,20493000,3267000,327360000,15039000,180756000,2775000,89034000,4581000,0.49
YESBANK,2026-04-28,0,276852200,-202989700,2026-05-26,0,954490100,175621700,2026-06-30,0,47272000,5691300,1278614300,-21676700,613478600,-15363400,328447100,-17913600,0.54
ZYDUSLIFE,2026-04-28,0,1220400,-1728900,2026-05-26,0,8235000,1584900,2026-06-30,0,147600,40500,9603000,-103500,3369600,-274500,2794500,166500,0.83
