SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
IRFC,EQ, 16-Sep-2026,79.15,79.41,79.58,78.16,78.95,78.95,78.97,9834178,7766.11,56850,3890419, 39.56,-0.25
ITC,EQ, 16-Sep-2026,258.0,259.4,264.9,259.3,264.15,264.15,262.86,15199856,39953.94,167323,7081623, 46.59,2.38
JINDALSTEL,EQ, 16-Sep-2026,1095.0,1088.0,1117.0,1085.4,1103.0,1103.0,1103.32,457237,5044.77,22320,155691, 34.05,0.73
JIOFIN,EQ, 16-Sep-2026,225.6,226.5,228.22,224.84,224.84,224.84,226.3,11926382,26989.74,74064,5884227, 49.34,-0.34
JSWENERGY,EQ, 16-Sep-2026,505.0,506.6,510.95,503.05,504.7,504.7,507.79,1951623,9910.12,17989,1405966, 72.04,-0.06
JSWSTEEL,EQ, 16-Sep-2026,1229.2,1244.0,1250.2,1227.0,1248.9,1248.9,1242.63,1803781,22414.41,39813,1145273, 63.49,1.6
JUBLFOOD,EQ, 16-Sep-2026,466.0,466.0,472.0,461.65,471.0,471.0,468.16,426648,1997.41,13439,166451, 39.01,1.07
KALYANKJIL,EQ, 16-Sep-2026,604.2,606.9,611.8,574.4,580.9,580.9,586.62,7484433,43905.26,115084,1833188, 24.49,-3.86
KAYNES,EQ, 16-Sep-2026,3392.0,3392.0,3411.3,3293.0,3385.0,3385.0,3361.52,723071,24306.2,59212,221206, 30.59,-0.21
KEI,EQ, 16-Sep-2026,4500.0,4484.0,4544.5,4468.0,4506.0,4506.0,4502.76,306662,13808.26,26650,113199, 36.91,0.13
KFINTECH,EQ, 16-Sep-2026,884.8,887.4,895.95,872.5,889.0,889.0,884.14,388510,3434.96,19019,141481, 36.42,0.47
KOTAKBANK,EQ, 16-Sep-2026,409.8,413.6,417.05,409.35,415.0,415.0,415.02,10898426,45230.8,87698,7839973, 71.94,1.27
KPITTECH,EQ, 16-Sep-2026,563.0,563.0,566.4,553.1,555.0,555.0,557.46,831708,4636.46,21333,249411, 29.99,-1.42
LAURUSLABS,EQ, 16-Sep-2026,1926.9,1924.6,1940.4,1863.5,1905.5,1905.5,1881.28,2871410,54019.15,77043,1499001, 52.20,-1.11
LICHSGFIN,EQ, 16-Sep-2026,542.0,541.8,551.45,529.6,543.0,543.0,540.99,3693410,19981.0,40001,1774356, 48.04,0.18
LICI,EQ, 16-Sep-2026,391.5,392.0,395.5,386.5,395.5,395.5,392.22,7015226,27515.13,105837,4139775, 59.01,1.02
LODHA,EQ, 16-Sep-2026,1064.8,1050.0,1090.6,1047.5,1087.4,1087.4,1071.44,1204027,12900.43,28981,510288, 42.38,2.12
LT,EQ, 16-Sep-2026,3850.7,3844.2,3867.9,3799.9,3807.7,3807.7,3824.63,2038640,77970.36,122434,1392097, 68.29,-1.12
LTF,EQ, 16-Sep-2026,296.8,296.9,300.95,293.8,295.5,295.5,296.99,1797290,5337.82,21578,663553, 36.92,-0.44
LTM,EQ, 16-Sep-2026,4346.6,4349.0,4370.0,4233.0,4233.0,4233.0,4304.23,229957,9897.89,24050,68299, 29.70,-2.61
LUPIN,EQ, 16-Sep-2026,2063.2,2056.4,2074.1,2033.5,2045.0,2045.0,2046.55,789895,16165.58,49404,458810, 58.08,-0.88
M&M,EQ, 16-Sep-2026,3029.5,3044.6,3105.9,3044.6,3070.0,3070.0,3081.78,2390779,73678.45,113590,1406184, 58.82,1.34
MANAPPURAM,EQ, 16-Sep-2026,318.85,321.25,324.7,317.25,319.9,319.9,320.94,3120709,10015.71,52092,1563255, 50.09,0.33
MANKIND,EQ, 16-Sep-2026,2280.5,2280.5,2300.7,2246.0,2246.0,2246.0,2265.08,650768,14740.44,19184,491519, 75.53,-1.51
MARICO,EQ, 16-Sep-2026,791.25,795.5,819.9,792.15,810.15,810.15,813.5,3237626,26338.1,104149,1668358, 51.53,2.39
MARUTI,EQ, 16-Sep-2026,12231.0,12231.0,12367.0,12159.0,12166.0,12166.0,12262.41,312876,38366.15,48387,170965, 54.64,-0.53
MAXHEALTH,EQ, 16-Sep-2026,1030.0,1036.4,1036.4,1021.6,1025.0,1025.0,1028.17,1600620,16457.02,31221,888494, 55.51,-0.49
MAZDOCK,EQ, 16-Sep-2026,2236.0,2236.0,2288.6,2190.0,2231.9,2231.9,2222.25,545318,12118.35,33962,164957, 30.25,-0.18
MCX,EQ, 16-Sep-2026,3173.5,3170.2,3224.5,3056.6,3211.2,3211.2,3142.24,1971522,61949.88,111422,671598, 34.06,1.19
MFSL,EQ, 16-Sep-2026,1425.9,1425.9,1491.7,1423.6,1487.6,1487.6,1463.88,929997,13614.02,51649,525826, 56.54,4.33
MOTHERSON,EQ, 16-Sep-2026,158.15,157.19,160.4,156.4,158.27,158.27,158.92,8769455,13936.2,88939,5089255, 58.03,0.08
MOTILALOFS,EQ, 16-Sep-2026,990.8,982.4,989.9,963.8,976.5,976.5,977.61,771004,7537.41,28919,336865, 43.69,-1.44
MPHASIS,EQ, 16-Sep-2026,2378.0,2379.0,2393.9,2316.7,2316.7,2316.7,2350.36,158994,3736.94,19506,66072, 41.56,-2.58
MUTHOOTFIN,EQ, 16-Sep-2026,2722.3,2726.0,2804.6,2725.2,2771.4,2771.4,2777.72,632020,17555.74,52224,272827, 43.17,1.8
NAM-INDIA,EQ, 16-Sep-2026,1153.1,1154.0,1158.0,1111.2,1124.0,1124.0,1120.14,1222983,13699.15,41101,638366, 52.20,-2.52
NATIONALUM,EQ, 16-Sep-2026,350.55,352.0,357.75,350.1,356.0,356.0,355.15,3670150,13034.59,61740,1916271, 52.21,1.55
NAUKRI,EQ, 16-Sep-2026,1261.5,1258.5,1274.3,1250.9,1256.0,1256.0,1262.58,788281,9952.65,52223,451365, 57.26,-0.44
NBCC,EQ, 16-Sep-2026,80.69,81.2,81.54,79.72,81.41,81.41,80.92,5850166,4733.76,36564,1734553, 29.65,0.89
